IDX,COMMON_PVFF_CROSSOVERS_IDL_REF,NOTES,POPULAR,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20
292,OPERATOR,,HW,HANDWHEEL,,,,,,,,,,,,,,,,,,
293,GENERAL,,IMP,IMPORT,,,,,,,,,,,,,,,,,,
294,OPERATOR,,LL,LOCKING LEVER,LKG LVR,,,,,,,,,,,,,,,,,
295,OPERATOR,,LO,LEVER OP,LVR,LEVER,,,,,,,,,,,,,,,,
296,TYPE,,LR,Long Radius,,,,,,,,,,,,,,,,,,
297,TYPE,,LSAW,Longitudinal Submerged Arc Welded,,,,,,,,,,,,,,,,,,
298,GENERAL,,NDE,NON DESTRUCTIVE EXAM,,,,,,,,,,,,,,,,,,
299,ORGANIZATION,,NSF,National Sanitation Foundation,,,,,,,,,,,,,,,,,,
300,OPERATOR,,OP,OPERATOR,,,,,,,,,,,,,,,,,,
301,TYPE,,OS&Y,OUTSIDE STEM & YOKE,,,,,,,,,,,,,,,,,,
302,GENERAL,,PC,PIECE,,,,,,,,,,,,,,,,,,
303,END CONN,,PExBE,PLAIN END x BEVEL END,,,,,,,,,,,,,,,,,,
304,TYPE,,PRV,Pressure Reducing Valve,,,,,,,,,,,,,,,,,,
305,TYPE,,PSV,Pressure Safety Valve,,,,,,,,,,,,,,,,,,
306,TYPE,,RED,REDUC,REDUCER,RDCR,,,,,,,,,,,,,,,,
307,GENERAL,,RT,RADIOGRAPHY TEST,,,,,,,,,,,,,,,,,,
308,TYPE,,SAW,Submerged Arc Welded,,,,,,,,,,,,,,,,,,
309,TYPE,,SMLS,SEAMLESS,,,,,,,,,,,,,,,,,,
310,GENERAL,,RL,ROLLED LENGTH,,,,,,,,,,,,,,,,,,
311,GENERAL,,SRL,SINGLE RANDOM LENGTH,,,,,,,,,,,,,,,,,,
312,MATERIAL,,T12,TRIM 12,,,,,,,,,,,,,,,,,,
313,MATERIAL,,T12N,TRIM 12 NAME,,,,,,,,,,,,,,,,,,
314,MATERIAL,,T5,TRIM 5,,,,,,,,,,,,,,,,,,
315,MATERIAL,,T5N,TRIM 5 NACE,,,,,,,,,,,,,,,,,,
316,MATERIAL,,T8,TRIM 8,,,,,,,,,,,,,,,,,,
317,MATERIAL,,T8N,TRIM 8 NACE,,,,,,,,,,,,,,,,,,
318,TYPE,,TEE,T-fitting,,,,,,,,,,,,,,,,,,
319,TYPE,,TMBV,TRUNNION MOUNTED BALL VALVE,,,,,,,,,,,,,,,,,,
320,GENERAL,,WLD,WELD,,,,,,,,,,,,,,,,,,
321,GENERAL,,WT,WEIGHT,,,,,,,,,,,,,,,,,,
322,GENERAL,,FIP,FEMALE IRON PIPE,,,,,,,,,,,,,,,,,,
323,GENERAL,,MIP,MALE IRON PIPE,,,,,,,,,,,,,,,,,,
324,MATERIAL,,TFE,TEFLON,,,,,,,,,,,,,,,,,,
325,ORGANIZATION,,AWWA,American Water Works Association,,,,,,,,,,,,,,,,,,
326,MATERIAL,,GALV,GALVANIZED,GLV,,,,,,,,,,,,,,,,,
327,GENERAL,,BLK,BLACK,,,,,,,,,,,,,,,,,,
328,TYPE,,FBE,Fusion Bonded Epoxy,,,,,,,,,,,,,,,,,,
329,TYPE,,CPLG,COUPLING,,,,,,,,,,,,,,,,,,
330,TYPE,,45D,45 DEGREE,,,,,,,,,,,,,,,,,,
331,TYPE,,90D,90 DEGREE,,,,,,,,,,,,,,,,,,
332,END CONN,,T&C,THREADED AND COUPLED,,,,,,,,,,,,,,,,,,
333,PRESSURE,,3M,3000,3K,,,,,,,,,,,,,,,,,
334,PRESSURE,,6M,6000,6K,,,,,,,,,,,,,,,,,
335,MATERIAL,,MALL,MALLEABLE,MALLEABLE IRON,MI,,,,,,,,,,,,,,,,
336,GENERAL,,IR,INNER RING,,,,,,,,,,,,,,,,,,
337,GENERAL,,OR,OUTER RING,,,,,,,,,,,,,,,,,,
338,MATERIAL,,HSTL,HASTELLOY,,,,,,,,,,,,,,,,,,
339,GENERAL,,BLT,BOLT,,,,,,,,,,,,,,,,,,
340,GENERAL,,GSKT,GASKET,,,,,,,,,,,,,,,,,,
341,GENERAL,,SWG,SPIRAL WOUND GASKET,,,,,,,,,,,,,,,,,,
342,GENERAL,,PTD,PAINTED,,,,,,,,,,,,,,,,,,
343,GENERAL,,SLD,SOLID,,,,,,,,,,,,,,,,,,
344,MATERIAL,,GRF,GRAPHITE,,,,,,,,,,,,,,,,,,
345,GENERAL,,HDWR,HARDWARE,,,,,,,,,,,,,,,,,,
346,GENERAL,,MECH TEE,MECHANICAL TEE,,,,,,,,,,,,,,,,,,
347,TYPE,,ECC RED,ECCENTRIC REDUCER,,,,,,,,,,,,,,,,,,
348,TYPE,,CONC RED,CONCENTRIC REDUCER,,,,,,,,,,,,,,,,,,
349,TYPE,,BLD,BLIND,,,,,,,,,,,,,,,,,,
350,TYPE,,PSTN,PISTON,,,,,,,,,,,,,,,,,,
351,MATERIAL,,FCS,FORGED CARBON STEEL,,,,,,,,,,,,,,,,,,
352,TYPE (FERG),,F&T,FLOOR & TABLE,,,,,,,,,,,,,,,,,,
353,TYPE,,STM,STEAM,,,,,,,,,,,,,,,,,,
354,END CONN,,SWXTHRD,SOCKETWELD X THREADED ENDS,,,,,,,,,,,,,,,,,,
355,TYPE,,THRMDYNMC,THERMODYNAMIC,TDC,,,,,,,,,,,,,,,,,
356,MATERIAL,,ALST,ALL STAINLESS,,,,,,,,,,,,,,,,,,
357,TYPE,,UNIV CONN,UNIVERSAL CONNECTOR,,,,,,,,,,,,,,,,,,
358,TYPE (steam),,BCKT,BUCKET,,,,,,,,,,,,,,,,,,
359,MATERIAL,,CSXSS,CARBON STEEL X STAINLESS STEEL,,,,,,,,,,,,,,,,,,
360,PORT,, SP ,STANDARD PORT,REDUCED PORT,,,,,,,,,,,,,,,,,
361,TYPE,,SPW,SPIRAL WOUND,,,,,,,,,,,,,,,,,,
362,TYPE,,SPV,SLEEVED PLUG VALVE,,,,,,,,,,,,,,,,,,
363,GENERAL,,BDY,BODY,,,,,,,,,,,,,,,,,,
364,TYPE,,GLB,GLOBE,,,,,,,,,,,,,,,,,,
365,OPERATOR,,HDL,HANDLE,,,,,,,,,,,,,,,,,,
366,GENERAL,,RND,ROUND,,,,,,,,,,,,,,,,,,
367,GENERAL,,MNTG,MOUNTING,,,,,,,,,,,,,,,,,,
368,GENERAL,,PLTD,PLATED,,,,,,,,,,,,,,,,,,
369,TYPE,,COMP COUP,COMPRESSION COUPLING,,,,,,,,,,,,,,,,,,
370,MATERIAL,,MSBALL,METAL SEATED BALL,,,,,,,,,,,,,,,,,,
371,GENERAL,,BRCH,BRANCH,,,,,,,,,,,,,,,,,,
372,GENERAL,,DBL,DOUBLE,,,,,,,,,,,,,,,,,,
373,MATERIAL,,F/GLS,FIBERGLASS,,,,,,,,,,,,,,,,,,
374,GENERAL,,ADPT,ADAPTER,,,,,,,,,,,,,,,,,,
375,GENERAL,,BU RING,BACKUP RING,,,,,,,,,,,,,,,,,,
376,END CONN,,TPRD,TAPERED,,,,,,,,,,,,,,,,,,
377,TYPE,,NDL,NEEDLE,,,,,,,,,,,,,,,,,,
378,TYPE,,HPBF,HIGH PERFORMANCE BUTTERFLY VALVE,HPBFV,,,,,,,,,,,,,,,,,
379,TYPE,,KGV,KNIFE GATE VALVE,,,,,,,,,,,,,,,,,,
380,END CONN,,BXP,BEVELED X PLAIN,B X P,,,,,,,,,,,,,,,,,
381,END CONN,,TXP,THREADED X PLAIN,T X P,,,,,,,,,,,,,,,,,
382,END CONN,,PXT,PLAIN X THREADED,P X T,,,,,,,,,,,,,,,,,
383,END CONN,,PXB,PLAIN X BEVELED,P X B,,,,,,,,,,,,,,,,,
384,END CONN,,BBE,BEVELED BOTH ENDS,,,,,,,,,,,,,,,,,,
385,END CONN,,BXT,BEVELED X THREADED,B X T,,,,,,,,,,,,,,,,,
386,END CONN,,TXB,THREADED X BEVELED,T X B,,,,,,,,,,,,,,,,,
387,END CONN,,MHT,MALE HOSE THREAD,,,,,,,,,,,,,,,,,,
388,END CONN,,MIP,MALE IRON PIPE,,,,,,,,,,,,,,,,,,
389,END CONN,,PXM,PRESS X MALE THREADED,,,,,,,,,,,,,,,,,,
390,TYPE,,GJ,GROUND JOINT,,,,,,,,,,,,,,,,,,
391,END CONN,,PXP,PRESS X PRESSS,,,,,,,,,,,,,,,,,,
392,END CONN,,PXMHT,PRESS X MALE HOSE THREAD,,,,,,,,,,,,,,,,,,
393,TYPE,,ISS,INSIDE SCREW STEM,,,,,,,,,,,,,,,,,,
394,END CONN,,PEB,PLAIN END BEVELED,,,,,,,,,,,,,,,,,,
395,GENERAL,,A/SA,ASTM/ASME,,,,,,,,,,,,,,,,,,
396,TYPE,,LOL,LONG OUTLET,,,,,,,,,,,,,,,,,,
397,GENERAL,,FIRELK,FIRELOK,FIRELOCK,,,,,,,,,,,,,,,,,
398,TYPE,,HYD,HIGH YIELD,,,,,,,,,,,,,,,,,,
399,TYPE,,ANG,ANGLE,,,,,,,,,,,,,,,,,,
400,TYPE,,STP,STOP,,,,,,,,,,,,,,,,,,
401,TYPE,,RDCNG,REDUCING,,,,,,,,,,,,,,,,,,
402,TYPE,,LOL,LATERAL O-LET,,,,,,,,,,,,,,,,,,
403,TYPE,,OLET,O-LET,,,,,,,,,,,,,,,,,,
404,TYPE,,SOL,SOCKOLET,SOCOLET,SOCKET WELD FLEX-O-LET,SOCKET O-LET,SOCKLET,,,,,,,,,,,,,,
405,TYPE,,TOL,THREADOLET,THREADED O-LET,,,,,,,,,,,,,,,,,
406,TYPE,,WOL,WELDOLET,WELD-O-LET,WELD O-LET,,,,,,,,,,,,,,,,
407,TYPE,,EOL,ELBOLET,ELBOW FLEX-O-LET,,,,,,,,,,,,,,,,,
